week,year,student,teacher,location
8,2021,95,21,BW
8,2021,591,138,BY
8,2021,217,59,BE
8,2021,63,42,BB
8,2021,38,5,HB
8,2021,0,0,HH
8,2021,193,32,HE
8,2021,24,4,MV
8,2021,1148,170,NI
8,2021,0,109,NW
8,2021,226,28,RP
8,2021,14,5,SL
8,2021,136,37,SN
8,2021,0,0,ST
8,2021,9,2,SH
8,2021,41,24,TH
9,2021,250,36,BW
9,2021,777,176,BY
9,2021,235,69,BE
9,2021,94,42,BB
9,2021,48,6,HB
9,2021,0,0,HH
9,2021,295,46,HE
9,2021,30,3,MV
9,2021,418,44,NI
9,2021,0,143,NW
9,2021,292,41,RP
9,2021,36,6,SL
9,2021,248,64,SN
9,2021,103,42,ST
9,2021,19,0,SH
9,2021,130,55,TH
10,2021,328,53,BW
10,2021,1030,193,BY
10,2021,260,73,BE
10,2021,156,66,BB
10,2021,40,9,HB
10,2021,0,0,HH
10,2021,396,56,HE
10,2021,47,5,MV
10,2021,465,54,NI
10,2021,0,147,NW
10,2021,319,48,RP
10,2021,45,9,SL
10,2021,401,84,SN
10,2021,216,49,ST
10,2021,22,1,SH
10,2021,253,82,TH
11,2021,524,76,BW
11,2021,1496,228,BY
11,2021,363,88,BE
11,2021,246,75,BB
11,2021,78,8,HB
11,2021,100,9,HH
11,2021,78,26,HE
11,2021,41,20,MV
11,2021,585,61,NI
11,2021,1665,186,NW
11,2021,476,55,RP
11,2021,69,5,SL
11,2021,662,124,SN
11,2021,331,56,ST
11,2021,36,0,SH
11,2021,356,100,TH
12,2021,817,86,BW
12,2021,1971,331,BY
12,2021,539,123,BE
12,2021,346,76,BB
12,2021,148,5,HB
12,2021,251,20,HH
12,2021,765,101,HE
12,2021,79,16,MV
12,2021,731,77,NI
12,2021,2584,298,NW
12,2021,765,72,RP
12,2021,103,4,SL
12,2021,896,211,SN
12,2021,382,58,ST
12,2021,260,21,SH
12,2021,415,101,TH
13,2021,962,103,BW
13,2021,-,-,BY
13,2021,-,-,BE
13,2021,-,-,BB
13,2021,-,-,HB
13,2021,345,21,HH
13,2021,875,105,HE
13,2021,-,-,MV
13,2021,-,-,NI
13,2021,-,-,NW
13,2021,-,-,RP
13,2021,-,-,SL
13,2021,-,-,SN
13,2021,-,-,ST
13,2021,230,19,SH
13,2021,-,-,TH
14,2021,-,-,BW
14,2021,-,-,BY
14,2021,-,-,BE
14,2021,-,-,BB
14,2021,-,-,HB
14,2021,317,13,HH
14,2021,-,-,HE
14,2021,-,-,MV
14,2021,-,-,NI
14,2021,-,-,NW
14,2021,736,65,RP
14,2021,53,2,SL
14,2021,-,-,SN
14,2021,364,63,ST
14,2021,-,-,SH
14,2021,136,60,TH
15,2021,300,45,BW
15,2021,2165,333,BY
15,2021,276,76,BE
15,2021,217,78,BB
15,2021,54,4,HB
15,2021,323,17,HH
15,2021,-,-,HE
15,2021,53,9,MV
15,2021,530,32,NI
15,2021,0,285,NW
15,2021,1265,94,RP
15,2021,186,4,SL
15,2021,698,112,SN
15,2021,531,77,ST
15,2021,-,-,SH
15,2021,119,63,TH
16,2021,996,107,BW
16,2021,3074,402,BY
16,2021,829,130,BE
16,2021,313,74,BB
16,2021,126,3,HB
16,2021,325,9,HH
16,2021,435,36,HE
16,2021,192,22,MV
16,2021,887,50,NI
16,2021,4015,322,NW
16,2021,1717,103,RP
16,2021,281,14,SL
16,2021,1331,139,SN
16,2021,689,82,ST
16,2021,52,3,SH
16,2021,232,58,TH
17,2021,1439,145,BW
17,2021,3012,367,BY
17,2021,1117,122,BE
17,2021,362,67,BB
17,2021,154,3,HB
17,2021,248,5,HH
17,2021,848,61,HE
17,2021,77,7,MV
17,2021,1041,66,NI
17,2021,4719,314,NW
17,2021,1763,105,RP
17,2021,289,18,SL
17,2021,1136,134,SN
17,2021,624,78,ST
17,2021,35,5,SH
17,2021,277,57,TH
18,2021,1113,105,BW
18,2021,2551,295,BY
18,2021,1130,122,BE
18,2021,352,64,BB
18,2021,97,4,HB
18,2021,214,12,HH
18,2021,687,62,HE
18,2021,75,12,MV
18,2021,878,53,NI
18,2021,3901,249,NW
18,2021,1575,88,RP
18,2021,241,13,SL
18,2021,760,121,SN
18,2021,403,55,ST
18,2021,35,3,SH
18,2021,238,54,TH
19,2021,878,70,BW
19,2021,2345,252,BY
19,2021,1007,104,BE
19,2021,335,47,BB
19,2021,96,2,HB
19,2021,-,-,HH
19,2021,598,53,HE
19,2021,54,4,MV
19,2021,701,45,NI
19,2021,3149,206,NW
19,2021,1362,78,RP
19,2021,181,9,SL
19,2021,597,89,SN
19,2021,-,-,ST
19,2021,10,1,SH
19,2021,250,64,TH
20,2021,638,51,BW
20,2021,2089,199,BY
20,2021,787,76,BE
20,2021,248,36,BB
20,2021,56,0,HB
20,2021,58,0,HH
20,2021,599,35,HE
20,2021,34,1,MV
20,2021,555,31,NI
20,2021,2569,172,NW
20,2021,1016,52,RP
20,2021,145,2,SL
20,2021,456,52,SN
20,2021,-,-,ST
20,2021,19,1,SH
20,2021,178,35,TH
21,2021,-,-,BW
21,2021,-,-,BY
21,2021,498,72,BE
21,2021,173,20,BB
21,2021,35,0,HB
21,2021,98,0,HH
21,2021,511,16,HE
21,2021,0,0,MV
21,2021,359,18,NI
21,2021,1923,91,NW
21,2021,-,-,RP
21,2021,-,-,SL
21,2021,375,33,SN
21,2021,73,8,ST
21,2021,10,0,SH
21,2021,94,17,TH
22,2021,-,-,BW
22,2021,-,-,BY
22,2021,418,53,BE
22,2021,140,14,BB
22,2021,35,0,HB
22,2021,59,0,HH
22,2021,475,13,HE
22,2021,31,2,MV
22,2021,241,7,NI
22,2021,1639,66,NW
22,2021,-,-,RP
22,2021,72,0,SL
22,2021,271,21,SN
22,2021,87,8,ST
22,2021,14,1,SH
22,2021,67,16,TH
23,2021,137,8,BW
23,2021,1116,121,BY
23,2021,293,20,BE
23,2021,98,9,BB
23,2021,30,1,HB
23,2021,41,2,HH
23,2021,345,7,HE
23,2021,12,1,MV
23,2021,210,2,NI
23,2021,1254,47,NW
23,2021,292,11,RP
23,2021,59,3,SL
23,2021,190,11,SN
23,2021,73,3,ST
23,2021,3,0,SH
23,2021,68,8,TH
24,2021,277,9,BW
24,2021,995,92,BY
24,2021,134,10,BE
24,2021,70,5,BB
24,2021,13,0,HB
24,2021,42,1,HH
24,2021,240,6,HE
24,2021,9,1,MV
24,2021,134,4,NI
24,2021,782,28,NW
24,2021,265,11,RP
24,2021,53,3,SL
24,2021,119,3,SN
24,2021,32,6,ST
24,2021,3,0,SH
24,2021,51,3,TH
25,2021,217,5,BW
25,2021,581,56,BY
25,2021,-,-,BE
25,2021,-,-,BB
25,2021,7,0,HB
25,2021,-,-,HH
25,2021,161,7,HE
25,2021,-,-,MV
25,2021,100,4,NI
25,2021,488,17,NW
25,2021,172,7,RP
25,2021,39,2,SL
25,2021,97,0,SN
25,2021,13,1,ST
25,2021,-,-,SH
25,2021,27,1,TH
26,2021,147,3,BW
26,2021,418,51,BY
26,2021,-,-,BE
26,2021,-,-,BB
26,2021,4,0,HB
26,2021,-,-,HH
26,2021,101,4,HE
26,2021,-,-,MV
26,2021,47,1,NI
26,2021,296,13,NW
26,2021,90,1,RP
26,2021,17,2,SL
26,2021,73,1,SN
26,2021,8,0,ST
26,2021,-,-,SH
26,2021,15,2,TH
27,2021,85,4,BW
27,2021,327,47,BY
27,2021,-,-,BE
27,2021,-,-,BB
27,2021,4,0,HB
27,2021,-,-,HH
27,2021,110,3,HE
27,2021,-,-,MV
27,2021,49,1,NI
27,2021,-,-,NW
27,2021,76,2,RP
27,2021,11,1,SL
27,2021,43,3,SN
