target,target_week,target_year,location,type,quantile,value
1 wk ahead,1,2022,BW,point,NA,-
1 wk ahead,1,2022,BW,quantile,0.025,-
1 wk ahead,1,2022,BW,quantile,0.25,-
1 wk ahead,1,2022,BW,quantile,0.5,-
1 wk ahead,1,2022,BW,quantile,0.75,-
1 wk ahead,1,2022,BW,quantile,0.975,-
2 wk ahead,2,2022,BW,point,NA,244
2 wk ahead,2,2022,BW,quantile,0.025,0
2 wk ahead,2,2022,BW,quantile,0.25,148
2 wk ahead,2,2022,BW,quantile,0.5,244
2 wk ahead,2,2022,BW,quantile,0.75,354
2 wk ahead,2,2022,BW,quantile,0.975,527
,,,,,,
1 wk ahead,1,2022,BY,point,NA,-
1 wk ahead,1,2022,BY,quantile,0.025,-
1 wk ahead,1,2022,BY,quantile,0.25,-
1 wk ahead,1,2022,BY,quantile,0.5,-
1 wk ahead,1,2022,BY,quantile,0.75,-
1 wk ahead,1,2022,BY,quantile,0.975,-
2 wk ahead,2,2022,BY,point,NA,561
2 wk ahead,2,2022,BY,quantile,0.025,143
2 wk ahead,2,2022,BY,quantile,0.25,432
2 wk ahead,2,2022,BY,quantile,0.5,561
2 wk ahead,2,2022,BY,quantile,0.75,729
2 wk ahead,2,2022,BY,quantile,0.975,1155
,,,,,,
1 wk ahead,1,2022,BE,point,NA,251
1 wk ahead,1,2022,BE,quantile,0.025,79
1 wk ahead,1,2022,BE,quantile,0.25,231
1 wk ahead,1,2022,BE,quantile,0.5,251
1 wk ahead,1,2022,BE,quantile,0.75,273
1 wk ahead,1,2022,BE,quantile,0.975,378
2 wk ahead,2,2022,BE,point,NA,439
2 wk ahead,2,2022,BE,quantile,0.025,204
2 wk ahead,2,2022,BE,quantile,0.25,360
2 wk ahead,2,2022,BE,quantile,0.5,439
2 wk ahead,2,2022,BE,quantile,0.75,509
2 wk ahead,2,2022,BE,quantile,0.975,652
,,,,,,
1 wk ahead,1,2022,BB,point,NA,198
1 wk ahead,1,2022,BB,quantile,0.025,131
1 wk ahead,1,2022,BB,quantile,0.25,190
1 wk ahead,1,2022,BB,quantile,0.5,198
1 wk ahead,1,2022,BB,quantile,0.75,201
1 wk ahead,1,2022,BB,quantile,0.975,274
2 wk ahead,2,2022,BB,point,NA,367
2 wk ahead,2,2022,BB,quantile,0.025,245
2 wk ahead,2,2022,BB,quantile,0.25,348
2 wk ahead,2,2022,BB,quantile,0.5,367
2 wk ahead,2,2022,BB,quantile,0.75,376
2 wk ahead,2,2022,BB,quantile,0.975,478
,,,,,,
1 wk ahead,1,2022,HB,point,NA,-
1 wk ahead,1,2022,HB,quantile,0.025,-
1 wk ahead,1,2022,HB,quantile,0.25,-
1 wk ahead,1,2022,HB,quantile,0.5,-
1 wk ahead,1,2022,HB,quantile,0.75,-
1 wk ahead,1,2022,HB,quantile,0.975,-
2 wk ahead,2,2022,HB,point,NA,6
2 wk ahead,2,2022,HB,quantile,0.025,0
2 wk ahead,2,2022,HB,quantile,0.25,0
2 wk ahead,2,2022,HB,quantile,0.5,6
2 wk ahead,2,2022,HB,quantile,0.75,17
2 wk ahead,2,2022,HB,quantile,0.975,26
,,,,,,
1 wk ahead,1,2022,HH,point,NA,78
1 wk ahead,1,2022,HH,quantile,0.025,65
1 wk ahead,1,2022,HH,quantile,0.25,70
1 wk ahead,1,2022,HH,quantile,0.5,78
1 wk ahead,1,2022,HH,quantile,0.75,84
1 wk ahead,1,2022,HH,quantile,0.975,87
2 wk ahead,2,2022,HH,point,NA,85
2 wk ahead,2,2022,HH,quantile,0.025,50
2 wk ahead,2,2022,HH,quantile,0.25,66
2 wk ahead,2,2022,HH,quantile,0.5,85
2 wk ahead,2,2022,HH,quantile,0.75,101
2 wk ahead,2,2022,HH,quantile,0.975,110
,,,,,,
1 wk ahead,1,2022,HE,point,NA,-
1 wk ahead,1,2022,HE,quantile,0.025,-
1 wk ahead,1,2022,HE,quantile,0.25,-
1 wk ahead,1,2022,HE,quantile,0.5,-
1 wk ahead,1,2022,HE,quantile,0.75,-
1 wk ahead,1,2022,HE,quantile,0.975,-
2 wk ahead,2,2022,HE,point,NA,180
2 wk ahead,2,2022,HE,quantile,0.025,44
2 wk ahead,2,2022,HE,quantile,0.25,95
2 wk ahead,2,2022,HE,quantile,0.5,180
2 wk ahead,2,2022,HE,quantile,0.75,278
2 wk ahead,2,2022,HE,quantile,0.975,436
,,,,,,
1 wk ahead,1,2022,MV,point,NA,29
1 wk ahead,1,2022,MV,quantile,0.025,9
1 wk ahead,1,2022,MV,quantile,0.25,23
1 wk ahead,1,2022,MV,quantile,0.5,29
1 wk ahead,1,2022,MV,quantile,0.75,36
1 wk ahead,1,2022,MV,quantile,0.975,41
2 wk ahead,2,2022,MV,point,NA,34
2 wk ahead,2,2022,MV,quantile,0.025,0
2 wk ahead,2,2022,MV,quantile,0.25,16
2 wk ahead,2,2022,MV,quantile,0.5,34
2 wk ahead,2,2022,MV,quantile,0.75,53
2 wk ahead,2,2022,MV,quantile,0.975,78
,,,,,,
1 wk ahead,1,2022,NI,point,NA,-
1 wk ahead,1,2022,NI,quantile,0.025,-
1 wk ahead,1,2022,NI,quantile,0.25,-
