target,target_week,target_year,location,type,quantile,value
1 wk ahead,4,2022,BW,point,NA,23681
1 wk ahead,4,2022,BW,quantile,0.025,20440
1 wk ahead,4,2022,BW,quantile,0.25,23047
1 wk ahead,4,2022,BW,quantile,0.5,23681
1 wk ahead,4,2022,BW,quantile,0.75,24554
1 wk ahead,4,2022,BW,quantile,0.975,27021
2 wk ahead,5,2022,BW,point,NA,34052
2 wk ahead,5,2022,BW,quantile,0.025,29935
2 wk ahead,5,2022,BW,quantile,0.25,32851
2 wk ahead,5,2022,BW,quantile,0.5,34052
2 wk ahead,5,2022,BW,quantile,0.75,35436
2 wk ahead,5,2022,BW,quantile,0.975,40409
,,,,,,
1 wk ahead,4,2022,BY,point,NA,38425
1 wk ahead,4,2022,BY,quantile,0.025,35887
1 wk ahead,4,2022,BY,quantile,0.25,37336
1 wk ahead,4,2022,BY,quantile,0.5,38425
1 wk ahead,4,2022,BY,quantile,0.75,40169
1 wk ahead,4,2022,BY,quantile,0.975,45291
2 wk ahead,5,2022,BY,point,NA,47386
2 wk ahead,5,2022,BY,quantile,0.025,36802
2 wk ahead,5,2022,BY,quantile,0.25,45042
2 wk ahead,5,2022,BY,quantile,0.5,47386
2 wk ahead,5,2022,BY,quantile,0.75,50366
2 wk ahead,5,2022,BY,quantile,0.975,60560
,,,,,,
1 wk ahead,4,2022,BE,point,NA,12095
1 wk ahead,4,2022,BE,quantile,0.025,10822
1 wk ahead,4,2022,BE,quantile,0.25,11632
1 wk ahead,4,2022,BE,quantile,0.5,12095
1 wk ahead,4,2022,BE,quantile,0.75,12625
1 wk ahead,4,2022,BE,quantile,0.975,14028
2 wk ahead,5,2022,BE,point,NA,11292
2 wk ahead,5,2022,BE,quantile,0.025,6513
2 wk ahead,5,2022,BE,quantile,0.25,10050
2 wk ahead,5,2022,BE,quantile,0.5,11292
2 wk ahead,5,2022,BE,quantile,0.75,12619
2 wk ahead,5,2022,BE,quantile,0.975,17595
,,,,,,
1 wk ahead,4,2022,BB,point,NA,11631
1 wk ahead,4,2022,BB,quantile,0.025,11178
1 wk ahead,4,2022,BB,quantile,0.25,11509
1 wk ahead,4,2022,BB,quantile,0.5,11631
1 wk ahead,4,2022,BB,quantile,0.75,12071
1 wk ahead,4,2022,BB,quantile,0.975,12721
2 wk ahead,5,2022,BB,point,NA,12982
2 wk ahead,5,2022,BB,quantile,0.025,10880
2 wk ahead,5,2022,BB,quantile,0.25,12050
2 wk ahead,5,2022,BB,quantile,0.5,12982
2 wk ahead,5,2022,BB,quantile,0.75,13987
2 wk ahead,5,2022,BB,quantile,0.975,16080
,,,,,,
1 wk ahead,4,2022,HB,point,NA,1065
1 wk ahead,4,2022,HB,quantile,0.025,818
1 wk ahead,4,2022,HB,quantile,0.25,1005
1 wk ahead,4,2022,HB,quantile,0.5,1065
1 wk ahead,4,2022,HB,quantile,0.75,1141
1 wk ahead,4,2022,HB,quantile,0.975,1345
2 wk ahead,5,2022,HB,point,NA,1335
2 wk ahead,5,2022,HB,quantile,0.025,756
2 wk ahead,5,2022,HB,quantile,0.25,1213
2 wk ahead,5,2022,HB,quantile,0.5,1335
2 wk ahead,5,2022,HB,quantile,0.75,1494
2 wk ahead,5,2022,HB,quantile,0.975,1923
,,,,,,
1 wk ahead,4,2022,HH,point,NA,6349
1 wk ahead,4,2022,HH,quantile,0.025,6044
1 wk ahead,4,2022,HH,quantile,0.25,6222
1 wk ahead,4,2022,HH,quantile,0.5,6349
1 wk ahead,4,2022,HH,quantile,0.75,6507
1 wk ahead,4,2022,HH,quantile,0.975,6681
2 wk ahead,5,2022,HH,point,NA,6070
2 wk ahead,5,2022,HH,quantile,0.025,3580
2 wk ahead,5,2022,HH,quantile,0.25,5012
2 wk ahead,5,2022,HH,quantile,0.5,6070
2 wk ahead,5,2022,HH,quantile,0.75,7168
2 wk ahead,5,2022,HH,quantile,0.975,9850
,,,,,,
1 wk ahead,4,2022,HE,point,NA,17564
1 wk ahead,4,2022,HE,quantile,0.025,16047
1 wk ahead,4,2022,HE,quantile,0.25,17002
1 wk ahead,4,2022,HE,quantile,0.5,17564
1 wk ahead,4,2022,HE,quantile,0.75,18635
1 wk ahead,4,2022,HE,quantile,0.975,20488
2 wk ahead,5,2022,HE,point,NA,26220
2 wk ahead,5,2022,HE,quantile,0.025,23183
2 wk ahead,5,2022,HE,quantile,0.25,25149
2 wk ahead,5,2022,HE,quantile,0.5,26220
2 wk ahead,5,2022,HE,quantile,0.75,27656
2 wk ahead,5,2022,HE,quantile,0.975,29334
,,,,,,
1 wk ahead,4,2022,MV,point,NA,2176
1 wk ahead,4,2022,MV,quantile,0.025,2049
1 wk ahead,4,2022,MV,quantile,0.25,2111
1 wk ahead,4,2022,MV,quantile,0.5,2176
1 wk ahead,4,2022,MV,quantile,0.75,2254
1 wk ahead,4,2022,MV,quantile,0.975,2585
2 wk ahead,5,2022,MV,point,NA,2375
2 wk ahead,5,2022,MV,quantile,0.025,1877
2 wk ahead,5,2022,MV,quantile,0.25,2143
2 wk ahead,5,2022,MV,quantile,0.5,2375
2 wk ahead,5,2022,MV,quantile,0.75,2613
2 wk ahead,5,2022,MV,quantile,0.975,2993
,,,,,,
1 wk ahead,4,2022,NI,point,NA,9856
1 wk ahead,4,2022,NI,quantile,0.025,8951
1 wk ahead,4,2022,NI,quantile,0.25,9493
1 wk ahead,4,2022,NI,quantile,0.5,9856
1 wk ahead,4,2022,NI,quantile,0.75,10299
1 wk ahead,4,2022,NI,quantile,0.975,11493
2 wk ahead,5,2022,NI,point,NA,13094
2 wk ahead,5,2022,NI,quantile,0.025,11361
2 wk ahead,5,2022,NI,quantile,0.25,12188
2 wk ahead,5,2022,NI,quantile,0.5,13094
2 wk ahead,5,2022,NI,quantile,0.75,14183
2 wk ahead,5,2022,NI,quantile,0.975,15137
,,,,,,
1 wk ahead,4,2022,NW,point,NA,76532
1 wk ahead,4,2022,NW,quantile,0.025,73221
1 wk ahead,4,2022,NW,quantile,0.25,75330
1 wk ahead,4,2022,NW,quantile,0.5,76532
1 wk ahead,4,2022,NW,quantile,0.75,77658
1 wk ahead,4,2022,NW,quantile,0.975,86053
2 wk ahead,5,2022,NW,point,NA,68669
2 wk ahead,5,2022,NW,quantile,0.025,57761
2 wk ahead,5,2022,NW,quantile,0.25,63641
2 wk ahead,5,2022,NW,quantile,0.5,68669
2 wk ahead,5,2022,NW,quantile,0.75,73898
2 wk ahead,5,2022,NW,quantile,0.975,87166
,,,,,,
1 wk ahead,4,2022,RP,point,NA,13550
1 wk ahead,4,2022,RP,quantile,0.025,12516
1 wk ahead,4,2022,RP,quantile,0.25,13068
1 wk ahead,4,2022,RP,quantile,0.5,13550
1 wk ahead,4,2022,RP,quantile,0.75,14125
1 wk ahead,4,2022,RP,quantile,0.975,14736
2 wk ahead,5,2022,RP,point,NA,12087
2 wk ahead,5,2022,RP,quantile,0.025,9317
2 wk ahead,5,2022,RP,quantile,0.25,10729
2 wk ahead,5,2022,RP,quantile,0.5,12087
2 wk ahead,5,2022,RP,quantile,0.75,14516
2 wk ahead,5,2022,RP,quantile,0.975,16729
,,,,,,
1 wk ahead,4,2022,SL,point,NA,2449
1 wk ahead,4,2022,SL,quantile,0.025,2031
1 wk ahead,4,2022,SL,quantile,0.25,2330
1 wk ahead,4,2022,SL,quantile,0.5,2449
1 wk ahead,4,2022,SL,quantile,0.75,2600
1 wk ahead,4,2022,SL,quantile,0.975,2882
2 wk ahead,5,2022,SL,point,NA,3668
2 wk ahead,5,2022,SL,quantile,0.025,3068
2 wk ahead,5,2022,SL,quantile,0.25,3393
2 wk ahead,5,2022,SL,quantile,0.5,3668
2 wk ahead,5,2022,SL,quantile,0.75,4029
2 wk ahead,5,2022,SL,quantile,0.975,4465
,,,,,,
1 wk ahead,4,2022,SN,point,NA,7198
1 wk ahead,4,2022,SN,quantile,0.025,5742
1 wk ahead,4,2022,SN,quantile,0.25,6383
1 wk ahead,4,2022,SN,quantile,0.5,7198
1 wk ahead,4,2022,SN,quantile,0.75,8237
1 wk ahead,4,2022,SN,quantile,0.975,9985
2 wk ahead,5,2022,SN,point,NA,8369
2 wk ahead,5,2022,SN,quantile,0.025,3750
2 wk ahead,5,2022,SN,quantile,0.25,7179
2 wk ahead,5,2022,SN,quantile,0.5,8369
2 wk ahead,5,2022,SN,quantile,0.75,10775
2 wk ahead,5,2022,SN,quantile,0.975,14409
,,,,,,
1 wk ahead,4,2022,ST,point,NA,4124
1 wk ahead,4,2022,ST,quantile,0.025,3407
1 wk ahead,4,2022,ST,quantile,0.25,3839
1 wk ahead,4,2022,ST,quantile,0.5,4124
1 wk ahead,4,2022,ST,quantile,0.75,4443
1 wk ahead,4,2022,ST,quantile,0.975,4882
2 wk ahead,5,2022,ST,point,NA,5494
2 wk ahead,5,2022,ST,quantile,0.025,3876
2 wk ahead,5,2022,ST,quantile,0.25,4574
2 wk ahead,5,2022,ST,quantile,0.5,5494
2 wk ahead,5,2022,ST,quantile,0.75,6645
2 wk ahead,5,2022,ST,quantile,0.975,7571
,,,,,,
1 wk ahead,4,2022,SH,point,NA,4525
1 wk ahead,4,2022,SH,quantile,0.025,4097
1 wk ahead,4,2022,SH,quantile,0.25,4424
1 wk ahead,4,2022,SH,quantile,0.5,4525
1 wk ahead,4,2022,SH,quantile,0.75,4666
1 wk ahead,4,2022,SH,quantile,0.975,4989
2 wk ahead,5,2022,SH,point,NA,5023
2 wk ahead,5,2022,SH,quantile,0.025,2782
2 wk ahead,5,2022,SH,quantile,0.25,4007
2 wk ahead,5,2022,SH,quantile,0.5,5023
2 wk ahead,5,2022,SH,quantile,0.75,6070
2 wk ahead,5,2022,SH,quantile,0.975,8099
,,,,,,
1 wk ahead,4,2022,TH,point,NA,1813
