target,target_week,location,type,quantile,value
1 wk ahead,33,BW,point,NA,-
1 wk ahead,33,BW,quantile,0.025,-
1 wk ahead,33,BW,quantile,0.25,-
1 wk ahead,33,BW,quantile,0.5,-
1 wk ahead,33,BW,quantile,0.75,-
1 wk ahead,33,BW,quantile,0.975,-
2 wk ahead,34,BW,point,NA,-
2 wk ahead,34,BW,quantile,0.025,-
2 wk ahead,34,BW,quantile,0.25,-
2 wk ahead,34,BW,quantile,0.5,-
2 wk ahead,34,BW,quantile,0.75,-
2 wk ahead,34,BW,quantile,0.975,-
1 wk ahead,33,BY,point,NA,-
1 wk ahead,33,BY,quantile,0.025,-
1 wk ahead,33,BY,quantile,0.25,-
1 wk ahead,33,BY,quantile,0.5,-
1 wk ahead,33,BY,quantile,0.75,-
1 wk ahead,33,BY,quantile,0.975,-
2 wk ahead,34,BY,point,NA,-
2 wk ahead,34,BY,quantile,0.025,-
2 wk ahead,34,BY,quantile,0.25,-
2 wk ahead,34,BY,quantile,0.5,-
2 wk ahead,34,BY,quantile,0.75,-
2 wk ahead,34,BY,quantile,0.975,-
1 wk ahead,33,BE,point,NA,289
1 wk ahead,33,BE,quantile,0.025,184
1 wk ahead,33,BE,quantile,0.25,245
1 wk ahead,33,BE,quantile,0.5,289
1 wk ahead,33,BE,quantile,0.75,336
1 wk ahead,33,BE,quantile,0.975,398
2 wk ahead,34,BE,point,NA,344
2 wk ahead,34,BE,quantile,0.025,185
2 wk ahead,34,BE,quantile,0.25,283
2 wk ahead,34,BE,quantile,0.5,344
2 wk ahead,34,BE,quantile,0.75,406
2 wk ahead,34,BE,quantile,0.975,528
1 wk ahead,33,BB,point,NA,110
1 wk ahead,33,BB,quantile,0.025,71
1 wk ahead,33,BB,quantile,0.25,90
1 wk ahead,33,BB,quantile,0.5,110
1 wk ahead,33,BB,quantile,0.75,133
1 wk ahead,33,BB,quantile,0.975,175
2 wk ahead,34,BB,point,NA,118
2 wk ahead,34,BB,quantile,0.025,48
2 wk ahead,34,BB,quantile,0.25,92
2 wk ahead,34,BB,quantile,0.5,118
2 wk ahead,34,BB,quantile,0.75,147
2 wk ahead,34,BB,quantile,0.975,199
1 wk ahead,33,HB,point,NA,-
1 wk ahead,33,HB,quantile,0.025,-
1 wk ahead,33,HB,quantile,0.25,-
1 wk ahead,33,HB,quantile,0.5,-
1 wk ahead,33,HB,quantile,0.75,-
1 wk ahead,33,HB,quantile,0.975,-
2 wk ahead,34,HB,point,NA,-
2 wk ahead,34,HB,quantile,0.025,-
2 wk ahead,34,HB,quantile,0.25,-
2 wk ahead,34,HB,quantile,0.5,-
2 wk ahead,34,HB,quantile,0.75,-
2 wk ahead,34,HB,quantile,0.975,-
1 wk ahead,33,HH,point,NA,300
1 wk ahead,33,HH,quantile,0.025,225
1 wk ahead,33,HH,quantile,0.25,271
1 wk ahead,33,HH,quantile,0.5,300
1 wk ahead,33,HH,quantile,0.75,336
1 wk ahead,33,HH,quantile,0.975,372
2 wk ahead,34,HH,point,NA,323
2 wk ahead,34,HH,quantile,0.025,226
2 wk ahead,34,HH,quantile,0.25,275
2 wk ahead,34,HH,quantile,0.5,323
2 wk ahead,34,HH,quantile,0.75,375
2 wk ahead,34,HH,quantile,0.975,422
1 wk ahead,33,HE,point,NA,-
1 wk ahead,33,HE,quantile,0.025,-
1 wk ahead,33,HE,quantile,0.25,-
1 wk ahead,33,HE,quantile,0.5,-
1 wk ahead,33,HE,quantile,0.75,-
1 wk ahead,33,HE,quantile,0.975,-
2 wk ahead,34,HE,point,NA,-
2 wk ahead,34,HE,quantile,0.025,-
2 wk ahead,34,HE,quantile,0.25,-
2 wk ahead,34,HE,quantile,0.5,-
2 wk ahead,34,HE,quantile,0.75,-
2 wk ahead,34,HE,quantile,0.975,-
1 wk ahead,33,MV,point,NA,94
1 wk ahead,33,MV,quantile,0.025,61
1 wk ahead,33,MV,quantile,0.25,81
1 wk ahead,33,MV,quantile,0.5,94
1 wk ahead,33,MV,quantile,0.75,112
1 wk ahead,33,MV,quantile,0.975,125
2 wk ahead,34,MV,point,NA,130
2 wk ahead,34,MV,quantile,0.025,85
2 wk ahead,34,MV,quantile,0.25,99
2 wk ahead,34,MV,quantile,0.5,130
2 wk ahead,34,MV,quantile,0.75,156
2 wk ahead,34,MV,quantile,0.975,176
1 wk ahead,33,NI,point,NA,-
1 wk ahead,33,NI,quantile,0.025,-
1 wk ahead,33,NI,quantile,0.25,-
1 wk ahead,33,NI,quantile,0.5,-
1 wk ahead,33,NI,quantile,0.75,-
1 wk ahead,33,NI,quantile,0.975,-
2 wk ahead,34,NI,point,NA,-
2 wk ahead,34,NI,quantile,0.025,-
2 wk ahead,34,NI,quantile,0.25,-
2 wk ahead,34,NI,quantile,0.5,-
2 wk ahead,34,NI,quantile,0.75,-
2 wk ahead,34,NI,quantile,0.975,-
1 wk ahead,33,NW,point,NA,468
1 wk ahead,33,NW,quantile,0.025,367
1 wk ahead,33,NW,quantile,0.25,411
1 wk ahead,33,NW,quantile,0.5,468
1 wk ahead,33,NW,quantile,0.75,520
1 wk ahead,33,NW,quantile,0.975,566
2 wk ahead,34,NW,point,NA,654
2 wk ahead,34,NW,quantile,0.025,516
2 wk ahead,34,NW,quantile,0.25,584
2 wk ahead,34,NW,quantile,0.5,654
2 wk ahead,34,NW,quantile,0.75,726
2 wk ahead,34,NW,quantile,0.975,778
1 wk ahead,33,RP,point,NA,-
1 wk ahead,33,RP,quantile,0.025,-
1 wk ahead,33,RP,quantile,0.25,-
1 wk ahead,33,RP,quantile,0.5,-
1 wk ahead,33,RP,quantile,0.75,-
1 wk ahead,33,RP,quantile,0.975,-
2 wk ahead,34,RP,point,NA,-
2 wk ahead,34,RP,quantile,0.025,-
2 wk ahead,34,RP,quantile,0.25,-
2 wk ahead,34,RP,quantile,0.5,-
