target,target_week,location,type,quantile,value
1 wk ahead,40,BW,point,NA,82
1 wk ahead,40,BW,quantile,0.025,35
1 wk ahead,40,BW,quantile,0.25,70
1 wk ahead,40,BW,quantile,0.5,82
1 wk ahead,40,BW,quantile,0.75,97
1 wk ahead,40,BW,quantile,0.975,118
2 wk ahead,41,BW,point,NA,83
2 wk ahead,41,BW,quantile,0.025,26
2 wk ahead,41,BW,quantile,0.25,58
2 wk ahead,41,BW,quantile,0.5,83
2 wk ahead,41,BW,quantile,0.75,108
2 wk ahead,41,BW,quantile,0.975,146

1 wk ahead,40,BY,point,NA,157
1 wk ahead,40,BY,quantile,0.025,59
1 wk ahead,40,BY,quantile,0.25,119
1 wk ahead,40,BY,quantile,0.5,157
1 wk ahead,40,BY,quantile,0.75,198
1 wk ahead,40,BY,quantile,0.975,252
2 wk ahead,41,BY,point,NA,165
2 wk ahead,41,BY,quantile,0.025,49
2 wk ahead,41,BY,quantile,0.25,82
2 wk ahead,41,BY,quantile,0.5,165
2 wk ahead,41,BY,quantile,0.75,251
2 wk ahead,41,BY,quantile,0.975,345
1 wk ahead,40,BE,point,NA,73
1 wk ahead,40,BE,quantile,0.025,35
1 wk ahead,40,BE,quantile,0.25,58
1 wk ahead,40,BE,quantile,0.5,73
1 wk ahead,40,BE,quantile,0.75,90
1 wk ahead,40,BE,quantile,0.975,113
2 wk ahead,41,BE,point,NA,75
2 wk ahead,41,BE,quantile,0.025,33
2 wk ahead,41,BE,quantile,0.25,50
2 wk ahead,41,BE,quantile,0.5,75
2 wk ahead,41,BE,quantile,0.75,99
2 wk ahead,41,BE,quantile,0.975,131
1 wk ahead,40,BB,point,NA,33
1 wk ahead,40,BB,quantile,0.025,10
1 wk ahead,40,BB,quantile,0.25,20
1 wk ahead,40,BB,quantile,0.5,33
1 wk ahead,40,BB,quantile,0.75,45
1 wk ahead,40,BB,quantile,0.975,54
2 wk ahead,41,BB,point,NA,35
2 wk ahead,41,BB,quantile,0.025,3
2 wk ahead,41,BB,quantile,0.25,15
2 wk ahead,41,BB,quantile,0.5,35
2 wk ahead,41,BB,quantile,0.75,55
2 wk ahead,41,BB,quantile,0.975,69
1 wk ahead,40,HB,point,NA,3
1 wk ahead,40,HB,quantile,0.025,0
1 wk ahead,40,HB,quantile,0.25,1
1 wk ahead,40,HB,quantile,0.5,3
1 wk ahead,40,HB,quantile,0.75,5
1 wk ahead,40,HB,quantile,0.975,8
2 wk ahead,41,HB,point,NA,3
2 wk ahead,41,HB,quantile,0.025,0
2 wk ahead,41,HB,quantile,0.25,0
2 wk ahead,41,HB,quantile,0.5,3
2 wk ahead,41,HB,quantile,0.75,7
2 wk ahead,41,HB,quantile,0.975,13
1 wk ahead,40,HH,point,NA,10
1 wk ahead,40,HH,quantile,0.025,1
1 wk ahead,40,HH,quantile,0.25,6
1 wk ahead,40,HH,quantile,0.5,10
1 wk ahead,40,HH,quantile,0.75,13
1 wk ahead,40,HH,quantile,0.975,19
2 wk ahead,41,HH,point,NA,12
2 wk ahead,41,HH,quantile,0.025,0
2 wk ahead,41,HH,quantile,0.25,5
2 wk ahead,41,HH,quantile,0.5,12
2 wk ahead,41,HH,quantile,0.75,18
2 wk ahead,41,HH,quantile,0.975,26
1 wk ahead,40,HE,point,NA,4
1 wk ahead,40,HE,quantile,0.025,0
1 wk ahead,40,HE,quantile,0.25,1
1 wk ahead,40,HE,quantile,0.5,4
1 wk ahead,40,HE,quantile,0.75,8
1 wk ahead,40,HE,quantile,0.975,18
2 wk ahead,41,HE,point,NA,3
2 wk ahead,41,HE,quantile,0.025,0
2 wk ahead,41,HE,quantile,0.25,0
2 wk ahead,41,HE,quantile,0.5,3
2 wk ahead,41,HE,quantile,0.75,15
2 wk ahead,41,HE,quantile,0.975,24
1 wk ahead,40,MV,point,NA,6
1 wk ahead,40,MV,quantile,0.025,0
1 wk ahead,40,MV,quantile,0.25,4
1 wk ahead,40,MV,quantile,0.5,6
1 wk ahead,40,MV,quantile,0.75,9
1 wk ahead,40,MV,quantile,0.975,16
2 wk ahead,41,MV,point,NA,7
2 wk ahead,41,MV,quantile,0.025,0
2 wk ahead,41,MV,quantile,0.25,0
2 wk ahead,41,MV,quantile,0.5,7
2 wk ahead,41,MV,quantile,0.75,18
2 wk ahead,41,MV,quantile,0.975,27
1 wk ahead,40,NI,point,NA,34
1 wk ahead,40,NI,quantile,0.025,13
1 wk ahead,40,NI,quantile,0.25,20
1 wk ahead,40,NI,quantile,0.5,34
1 wk ahead,40,NI,quantile,0.75,47
1 wk ahead,40,NI,quantile,0.975,59
2 wk ahead,41,NI,point,NA,32
2 wk ahead,41,NI,quantile,0.025,1
2 wk ahead,41,NI,quantile,0.25,8
2 wk ahead,41,NI,quantile,0.5,32
2 wk ahead,41,NI,quantile,0.75,54
2 wk ahead,41,NI,quantile,0.975,74
1 wk ahead,40,NW,point,NA,113
1 wk ahead,40,NW,quantile,0.025,42
1 wk ahead,40,NW,quantile,0.25,87
1 wk ahead,40,NW,quantile,0.5,113
1 wk ahead,40,NW,quantile,0.75,137
1 wk ahead,40,NW,quantile,0.975,154
2 wk ahead,41,NW,point,NA,102
2 wk ahead,41,NW,quantile,0.025,8
2 wk ahead,41,NW,quantile,0.25,55
2 wk ahead,41,NW,quantile,0.5,102
2 wk ahead,41,NW,quantile,0.75,154
2 wk ahead,41,NW,quantile,0.975,254
1 wk ahead,40,RP,point,NA,62
1 wk ahead,40,RP,quantile,0.025,38
1 wk ahead,40,RP,quantile,0.25,49
1 wk ahead,40,RP,quantile,0.5,62
1 wk ahead,40,RP,quantile,0.75,75
1 wk ahead,40,RP,quantile,0.975,85
2 wk ahead,41,RP,point,NA,57
2 wk ahead,41,RP,quantile,0.025,19
2 wk ahead,41,RP,quantile,0.25,29
2 wk ahead,41,RP,quantile,0.5,57
2 wk ahead,41,RP,quantile,0.75,80
2 wk ahead,41,RP,quantile,0.975,105
1 wk ahead,40,SL,point,NA,5
1 wk ahead,40,SL,quantile,0.025,0
1 wk ahead,40,SL,quantile,0.25,2
1 wk ahead,40,SL,quantile,0.5,5
1 wk ahead,40,SL,quantile,0.75,9
1 wk ahead,40,SL,quantile,0.975,13
2 wk ahead,41,SL,point,NA,4
2 wk ahead,41,SL,quantile,0.025,0
2 wk ahead,41,SL,quantile,0.25,0
2 wk ahead,41,SL,quantile,0.5,4
2 wk ahead,41,SL,quantile,0.75,10
2 wk ahead,41,SL,quantile,0.975,17
1 wk ahead,40,SN,point,NA,73
1 wk ahead,40,SN,quantile,0.025,45
1 wk ahead,40,SN,quantile,0.25,61
1 wk ahead,40,SN,quantile,0.5,73
1 wk ahead,40,SN,quantile,0.75,84
1 wk ahead,40,SN,quantile,0.975,95
2 wk ahead,41,SN,point,NA,94
2 wk ahead,41,SN,quantile,0.025,52
2 wk ahead,41,SN,quantile,0.25,71
2 wk ahead,41,SN,quantile,0.5,94
2 wk ahead,41,SN,quantile,0.75,116
2 wk ahead,41,SN,quantile,0.975,133
1 wk ahead,40,ST,point,NA,32
1 wk ahead,40,ST,quantile,0.025,19
1 wk ahead,40,ST,quantile,0.25,26
1 wk ahead,40,ST,quantile,0.5,32
1 wk ahead,40,ST,quantile,0.75,37
1 wk ahead,40,ST,quantile,0.975,51
2 wk ahead,41,ST,point,NA,43
2 wk ahead,41,ST,quantile,0.025,18
2 wk ahead,41,ST,quantile,0.25,31
2 wk ahead,41,ST,quantile,0.5,43
2 wk ahead,41,ST,quantile,0.75,54
2 wk ahead,41,ST,quantile,0.975,70
1 wk ahead,40,SH,point,NA,9
1 wk ahead,40,SH,quantile,0.025,2
1 wk ahead,40,SH,quantile,0.25,5
1 wk ahead,40,SH,quantile,0.5,9
1 wk ahead,40,SH,quantile,0.75,12
1 wk ahead,40,SH,quantile,0.975,17
2 wk ahead,41,SH,point,NA,9
2 wk ahead,41,SH,quantile,0.025,0
2 wk ahead,41,SH,quantile,0.25,4
2 wk ahead,41,SH,quantile,0.5,9
2 wk ahead,41,SH,quantile,0.75,15
2 wk ahead,41,SH,quantile,0.975,23
1 wk ahead,40,TH,point,NA,29
1 wk ahead,40,TH,quantile,0.025,9
1 wk ahead,40,TH,quantile,0.25,21
1 wk ahead,40,TH,quantile,0.5,29
1 wk ahead,40,TH,quantile,0.75,36
1 wk ahead,40,TH,quantile,0.975,50
2 wk ahead,41,TH,point,NA,32
2 wk ahead,41,TH,quantile,0.025,0
2 wk ahead,41,TH,quantile,0.25,20
2 wk ahead,41,TH,quantile,0.5,32
2 wk ahead,41,TH,quantile,0.75,44
2 wk ahead,41,TH,quantile,0.975,65
