"data_date";"key";"date";"schools_closed";"schools_closed_perc";"schools_limited";"schools_limited_perc";"schools_limited_distance";"schools_limited_distance_perc";"schools_total";"students_infected";"students_infected_perc";"students_quarantine";"students_quarantine_perc";"students_total";"teacher_infected";"teacher_infected_perc";"teacher_quarantine";"teacher_quarantine_perc";"teacher_total";"students_perc";"teacher_perc"
"2022-02-24";"bl_bw";"2022-02-25";"0";NA;"0";NA;"36";"8,10993466997071e-01";"4439";"23975";"1,63403147427465e+00";"16191";"1,10350797080212e+00";"1467230";"2155";"1,56436017305961e+00";"844";"6,12677487731932e-01";"137756";"1,634031474274653561";"1,56436017305961261"
"2022-02-24";"bl_by";"2022-02-26";"10";"1,63452108532200e-01";"172";"2,81137626675384e+00";NA;NA;"6118";"54665";"3,36176571878382e+00";"29429";"1,80981255534783e+00";"1626080";"4952";"2,90977465699092e+00";"600";"3,52557510943973e-01";"170185";"3,361765718783824131";"2,90977465699092175"
"2022-02-24";"bl_be";"2022-02-26";"0";"0,00000000000000e+00";NA;NA;NA;NA;"902";NA;NA;NA;NA;"458779";NA;NA;NA;NA;"50846";NA;NA
"2022-02-24";"bl_bb";"2022-02-26";"0";"0,00000000000000e+00";"5";"5,41711809317443e-01";"5";"5,41711809317443e-01";"923";"8295";"2,77817782347602e+00";"6821";"2,28450282506690e+00";"298577";"902";"3,64473896880556e+00";"235";"9,49571682560207e-01";"24748";"2,778177823476021047";"3,64473896880556003"
"2022-02-24";"bl_hb";"2022-02-26";"0";"0,00000000000000e+00";"16";"1,13475177304965e+01";"16";"1,13475177304965e+01";"141";"292";"4,30513372453042e-01";"905";"1,33429658243152e+00";"67826";"11";"1,25714285714286e-01";"91";"1,04000000000000e+00";"8750";"0,430513372453041554";"0,12571428571428570"
"2022-02-24";"bl_hh";"2022-03-02";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"473";"2192";"8,47667367900012e-01";NA;NA;"258592";"140";"6,29609642021946e-01";NA;NA;"22236";"0,847667367900012403";"0,62960964202194636"
"2022-02-24";"bl_he";"2022-02-26";"0";"0,00000000000000e+00";"23";"1,27423822714681e+00";"23";"1,27423822714681e+00";"1805";"8202";"1,07697014500099e+00";"4326";"5,68028876770823e-01";"761581";"629";"1,01564644523744e+00";"283";"4,56960165345304e-01";"61931";"1,076970145000991419";"1,01564644523744163"
"2022-02-24";"bl_mv";"2022-02-26";"0";"0,00000000000000e+00";"27";"5,40000000000000e+00";"27";"5,40000000000000e+00";"500";"1501";"9,09145972138098e-01";"84";"5,08782556026651e-02";"165100";"125";"9,32835820895522e-01";"0";"0,00000000000000e+00";"13400";"0,909145972138098113";"0,93283582089552231"
"2022-02-24";"bl_ni";"2022-02-26";"1";"3,10655483069276e-02";"17";"5,28114321217769e-01";NA;NA;"3219";"12767";"1,15985609680760e+00";NA;NA;"1100740";"999";"1,03819173811380e+00";NA;NA;"96225";"1,159856096807602155";"1,03819173811379573"
"2022-02-24";"bl_nw";"2022-02-25";"0";"0,00000000000000e+00";"81";"1,89784442361762e+00";"0";NA;"4268";"46833";"2,39105639835930e+00";"28948";"1,47793864624741e+00";"1958674";"3868";"2,52386514155960e+00";"1212";"7,90828477655180e-01";"153257";"2,391056398359298285";"2,52386514155960251"
"2022-02-24";"bl_rp";"2022-02-26";"0";NA;"0";NA;"0";NA;"0";"0";NA;"0";NA;"0";"0";NA;"0";NA;"0";NA;NA
"2022-02-24";"bl_sl";"2022-02-26";"0";NA;"0";NA;"0";NA;"0";"0";NA;"0";NA;"0";"0";NA;"0";NA;"0";NA;NA
"2022-02-24";"bl_sn";"2022-02-26";"0";NA;"0";NA;"0";NA;"0";"0";NA;"0";NA;"0";"0";NA;"0";NA;"0";NA;NA
"2022-02-24";"bl_st";"2022-02-26";"0";"0,00000000000000e+00";"34";"5,09745127436282e+00";"32";"4,79760119940030e+00";"667";"6377";"3,49214172279722e+00";"4674";"2,55955314604896e+00";"182610";"590";"4,45350241545894e+00";"117";"8,83152173913043e-01";"13248";"3,492141722797217795";"4,45350241545893688"
"2022-02-24";"bl_sh";"2022-02-26";"0";"0,00000000000000e+00";"2";"2,23713646532438e-01";"2";"2,23713646532438e-01";"894";"3166";"8,35076372824937e-01";"3041";"8,02105890638229e-01";"379127";"306";"9,88180585157915e-01";"183";"5,90970742104243e-01";"30966";"0,835076372824937296";"0,98818058515791518"
"2022-02-24";"bl_th";"2022-02-26";"0";"0,00000000000000e+00";"116";"1,19711042311662e+01";"107";"1,10423116615067e+01";"969";"4248";"1,72251597625458e+00";"8981";"3,64169396957213e+00";"246616";"557";"2,63855992420654e+00";"693";"3,28280435812411e+00";"21110";"1,722515976254582082";"2,63855992420653696"
"2022-02-24";"bereinigter_anteil";NA;NA;"5,26845155419321e-02";NA;"2,46783801371577e+00";NA;"2,29395985570253e+00";NA;NA;"2,02652420433202e+00";NA;"1,44546224806285e+00";NA;NA;"2,02092829511868e+00";NA;"6,70180734743473e-01";NA;NA;NA
"2022-02-24";"bereinigte_bezugsgrosse";NA;NA;"2,08790000000000e+04";NA;"1,99770000000000e+04";NA;"1,08110000000000e+04";NA;NA;"8,51275300000000e+06";NA;"7,15342100000000e+06";NA;NA;"7,53812000000000e+05";NA;"6,35351000000000e+05";NA;NA;NA
"2022-02-17";"bl_bw";"2022-02-18";"0";NA;"0";NA;"62";"1,39671097093940e+00";"4439";"30057";"2,04855407809273e+00";"23671";"1,61331215964777e+00";"1467230";"2575";"1,86924707453759e+00";"1343";"9,74912163535527e-01";"137756";"2,048554078092732489";"1,86924707453758820"
"2022-02-17";"bl_by";"2022-02-19";"42";"6,86947988223749e-01";"207";"3,38567222767419e+00";NA;NA;"6114";"60404";"3,71305630686009e+00";"33605";"2,06571182689943e+00";"1626800";"4873";"2,86650431181543e+00";"681";"4,00592948152331e-01";"169998";"3,713056306860093692";"2,86650431181543297"
"2022-02-17";"bl_be";"2022-02-19";"0";"0,00000000000000e+00";NA;NA;NA;NA;"902";NA;NA;NA;NA;"458779";NA;NA;NA;NA;"50846";NA;NA
"2022-02-17";"bl_bb";"2022-02-19";"0";"0,00000000000000e+00";"7";"7,58396533044420e-01";"7";"7,58396533044420e-01";"923";"8683";"2,90812755168683e+00";"7708";"2,58157862126018e+00";"298577";"983";"3,97203814449652e+00";"259";"1,04654921609827e+00";"24748";"2,908127551686834789";"3,97203814449652493"
"2022-02-17";"bl_hb";"2022-02-19";"0";"0,00000000000000e+00";NA;NA;NA;NA;"141";"315";"4,64423672338041e-01";"1143";"1,68519446819804e+00";"67826";"19";"2,19881958106701e-01";"106";"1,22670987154265e+00";"8641";"0,464423672338041493";"0,21988195810670061"
"2022-02-17";"bl_hh";"2022-02-23";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"473";"2920";"1,12919193169162e+00";NA;NA;"258592";"139";"6,25112430293218e-01";NA;NA;"22236";"1,129191931691622353";"0,62511243029321817"
"2022-02-17";"bl_he";"2022-02-19";"0";"0,00000000000000e+00";"42";"2,32686980609418e+00";"42";"2,32686980609418e+00";"1805";"11766";"1,54494400464297e+00";"7528";"9,88470037986767e-01";"761581";"826";"1,33374239072516e+00";"434";"7,00779900211526e-01";"61931";"1,544944004642972990";"1,33374239072516176"
"2022-02-17";"bl_mv";"2022-02-19";"0";NA;"0";NA;"0";NA;"0";"0";NA;"0";NA;"0";"0";NA;"0";NA;"0";NA;NA
"2022-02-17";"bl_ni";"2022-02-19";"4";"1,24262193227710e-01";"18";"5,59179869524697e-01";NA;NA;"3219";"15646";"1,42140741682868e+00";NA;NA;"1100740";"1081";"1,12340867757859e+00";NA;NA;"96225";"1,421407416828678993";"1,12340867757859186"
"2022-02-17";"bl_nw";"2022-02-18";"0";"0,00000000000000e+00";"193";"4,65060240963855e+00";"0";NA;"4150";"61637";"3,21992690556441e+00";"40801";"2,13145087648545e+00";"1914236";"4605";"3,07954659444277e+00";"1476";"9,87059885645501e-01";"149535";"3,219926905564412856";"3,07954659444277246"
"2022-02-17";"bl_rp";"2022-02-19";"0";"0,00000000000000e+00";"27";"1,69811320754717e+00";"27";"1,69811320754717e+00";"1590";"16861";"3,23806633993455e+00";"71399";"1,37118023014641e+01";"520712";"1319";"2,61623294192320e+00";"1374";"2,72532529355760e+00";"50416";"3,238066339934551063";"2,61623294192319911"
"2022-02-17";"bl_sl";"2022-02-19";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"302";"3403";"2,90502125625309e+00";"3812";"3,25417015246453e+00";"117142";"295";"3,03873094355171e+00";"319";"3,28594973217965e+00";"9708";"2,905021256253094375";"3,03873094355170981"
"2022-02-17";"bl_sn";"2022-02-19";"0";NA;"0";NA;"0";NA;"0";"0";NA;"0";NA;"0";"0";NA;"0";NA;"0";NA;NA
